price_in_rp,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,year_built,property_condition,building_orientation,garages,furnishing
2550000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Kolam Renang",rumah,hos10441241,3.0,2.0,144.0,186.0,1.0,shm - sertifikat hak milik,2200.0,1.0,0.0,2.0,,,selatan,0.0,
952000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV, Taman,  Playground, Wastafel, CCTV",rumah,hos11322477,2.0,2.0,55.0,50.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200.0,0.0,0.0,2.0,,baru,selatan,0.0,unfurnished
1800000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Ac,  Jogging Track,  Kolam Renang,  Taman,  Masjid, CCTV, Jalur Telepon,  Keamanan",rumah,hos11062997,2.0,1.0,119.0,82.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2013.0,bagus sekali,,1.0,semi furnished
2350000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track,  Kolam Renang, Taman, Jalur Telepon,  Keamanan",rumah,hos9769480,3.0,3.0,144.0,149.0,1.0,hgb - hak guna bangunan,2200.0,1.0,1.0,2.0,2014.0,bagus,utara,1.0,unfurnished
2500000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jalur Telepon,  Kolam Renang,  Taman, Jogging Track, Keamanan",rumah,hos11028360,3.0,3.0,144.0,200.0,1.0,,2200.0,0.0,0.0,2.0,2014.0,sudah renovasi,selatan,1.0,unfurnished
2700000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Track Lari,  One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  Tempat Laundry,  Playground, Jalur Telepon, Lapangan Basket",rumah,hos11076279,3.0,3.0,193.0,136.0,1.0,hgb - hak guna bangunan,3500.0,1.0,1.0,3.0,2015.0,bagus,utara,1.0,unfurnished
5360000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran,  Jogging Track, Tempat Gym,  Track Lari,  Kolam Renang,  Taman, Taman,  Masjid,  Kolam Ikan, Jalur Telepon,  Keamanan, Lapangan Basket",rumah,hos11367131,5.0,4.0,192.0,370.0,2.0,hgb - hak guna bangunan,3500.0,1.0,1.0,2.0,,baru,timur,0.0,unfurnished
952000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Track Lari,  Kolam Renang, Masjid,  Taman, Kolam Renang, Jogging Track,  Keamanan",rumah,hos11366509,2.0,2.0,55.0,50.0,1.0,hgb - hak guna bangunan,2200.0,1.0,1.0,2.0,,baru,selatan,0.0,unfurnished
2250000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Track Lari,  One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  Playground, Jogging Track, Keamanan",rumah,hos11294718,4.0,3.0,119.0,150.0,0.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,,bagus,,0.0,unfurnished
2250000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Track Lari,  One Gate System,  Kolam Renang,  AC, Kitchen Set, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV,  Playground, Wastafel, Jalur Telepon",rumah,hos11294624,3.0,2.0,119.0,150.0,1.0,shm - sertifikat hak milik,2200.0,1.0,1.0,1.0,2016.0,bagus,utara,1.0,semi furnished
2450000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track, Track Lari,  Kolam Renang, Masjid, Keamanan 24 jam,  Taman, Taman,  Masjid, Keamanan",rumah,hos11290011,3.0,3.0,144.0,150.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200.0,1.0,1.0,1.0,2016.0,bagus,selatan,0.0,unfurnished
125000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Taman,rumah,hos11222131,3.0,1.0,110.0,110.0,0.0,shm - sertifikat hak milik,1300.0,0.0,0.0,2.0,2022.0,baru,barat,0.0,unfurnished
1980000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran,  Jogging Track,  Track Lari,  One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV, Ac, Taman,  Playground, Lapangan Voli, AC,  Keamanan, Lapangan Basket",rumah,hos11220899,2.0,2.0,119.0,98.0,1.0,shm - sertifikat hak milik,3500.0,0.0,0.0,2.0,2020.0,bagus,utara,1.0,semi furnished
764000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Track Lari,  One Gate System, Taman,  Playground, CCTV",rumah,hos11219104,3.0,3.0,78.0,83.0,2.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,,0.0,unfurnished
2000000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Jalur Telepon,rumah,hos11215618,,,164.0,155.0,0.0,shm - sertifikat hak milik,2200.0,0.0,0.0,1.0,2010.0,bagus,,0.0,semi furnished
764000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Track Lari,  One Gate System, Keamanan 24 jam,  CCTV,  Playground, Taman, CCTV",rumah,hos11149218,3.0,3.0,78.0,83.0,2.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,,0.0,unfurnished
2350000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Kitchen Set, AC",rumah,hos11146776,3.0,2.0,119.0,140.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200.0,0.0,0.0,2.0,,bagus,,0.0,furnished
2550000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Track Lari,  One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV,  Playground, Jalur Telepon, Lapangan Basket",rumah,hos11145482,3.0,2.0,144.0,186.0,1.0,shm - sertifikat hak milik,2200.0,1.0,1.0,2.0,,sudah renovasi,selatan,1.0,unfurnished
480000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Taman",rumah,hos11088934,2.0,1.0,55.0,30.0,1.0,shm - sertifikat hak milik,1300.0,0.0,0.0,1.0,2022.0,baru,selatan,0.0,unfurnished
1900000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Jalur Telepon, Taman,  Keamanan,  Kolam Renang",rumah,hos11086914,2.0,3.0,91.0,120.0,2.0,"lainnya (ppjb,girik,adat,dll)",2200.0,0.0,0.0,2.0,,bagus sekali,,0.0,unfurnished
300000000.0,Bekasi, Bekasi,-6.2849775,106.970127," Taman, Ac, AC,  Masjid, Jalur Telepon,  Keamanan",rumah,hos10990207,2.0,1.0,60.0,36.0,1.0,shm - sertifikat hak milik,1300.0,0.0,0.0,1.0,2022.0,baru,timur,0.0,semi furnished
5270000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"Lapangan Tenis, Taman, Keamanan 24 jam",rumah,hos11349434,4.0,3.0,192.0,307.0,2.0,hgb - hak guna bangunan,3500.0,1.0,1.0,3.0,2022.0,baru,utara,0.0,unfurnished
2800000000.0,Bekasi, Bekasi,-6.2849775,106.970127," Jalur Telepon,  Ac,  Kolam Renang,  Taman,  CCTV, Jogging Track, Keamanan",rumah,hos10648464,4.0,3.0,150.0,200.0,2.0,shm - sertifikat hak milik,5500.0,1.0,1.0,2.0,,bagus,timur,2.0,furnished
2710000000.0,Bekasi, Bekasi,-6.2849775,106.970127," Playground, Keamanan 24 jam, Lapangan Tenis, Kolam Renang",rumah,hos11335224,4.0,4.0,135.0,149.0,2.0,,3500.0,0.0,0.0,2.0,,bagus,,0.0,unfurnished
500000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"Keamanan 24 jam, Taman",rumah,hos11201668,3.0,1.0,72.0,42.0,0.0,hgb - hak guna bangunan,2200.0,0.0,0.0,1.0,2022.0,baru,,0.0,unfurnished
439000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"Keamanan 24 jam, Taman",rumah,hos11201629,3.0,1.0,60.0,37.0,0.0,hgb - hak guna bangunan,2200.0,0.0,0.0,1.0,2022.0,baru,,0.0,unfurnished
800000000.0,Bekasi, Bekasi,-6.2849775,106.970127,Taman,rumah,hos2279368,3.0,2.0,92.0,82.0,0.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2018.0,baru,,2.0,unfurnished
850000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"Tempat Jemuran, Masjid, Keamanan 24 jam,  Taman, Taman,  Masjid, Keamanan",rumah,hos10947860,3.0,2.0,200.0,125.0,1.0,shm - sertifikat hak milik,2200.0,1.0,1.0,1.0,2015.0,bagus,selatan,1.0,unfurnished
700000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"Tempat Jemuran, Lapangan Bola,  Akses Parkir, Track Lari, Masjid, Keamanan 24 jam,  Tempat Laundry, Taman, Wastafel",rumah,hos11095460,3.0,2.0,90.0,146.0,1.0,shm - sertifikat hak milik,3500.0,0.0,0.0,2.0,,bagus,selatan,1.0,unfurnished
4950000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"CCTV, Ac, AC",rumah,hos11368648,5.0,4.0,348.0,430.0,1.0,shm - sertifikat hak milik,5500.0,1.0,1.0,2.0,,bagus,barat,1.0,semi furnished
1300000000.0,Bekasi, Bekasi,-6.2849775,106.970127," Jalur Telepon,  Ac,  Jogging Track, Tempat Jemuran, Lapangan Bola, Lapangan Tenis,  Kolam Renang,  AC, Mesin Cuci,  Lapangan Bulu Tangkis, Taman, Wastafel,  Pemanas Air,  Tempat Gym,  Masjid, Jalur Telepon, Keamanan,  Track Lari",rumah,hos11368590,4.0,4.0,84.0,105.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,timur,1.0,
1200000000.0,Bekasi, Bekasi,-6.2849775,106.970127,"AC,  Ac, Track Lari,  Akses Parkir,  One Gate System,  Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang,  Taman,  Tempat Laundry,  CCTV, Taman,  Playground, Jogging Track,  Masjid,  Keamanan",rumah,hos11368507,3.0,2.0,120.0,90.0,2.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,2022.0,baru,barat,0.0,semi furnished
